Question,Category,Genre,Intensity,Safe for First Time?,Safe for Work?,Egyptian Translation (Ammiya),,
What if you had to describe your future in three words?,"Coworkers, First Date, First Time Meeting, Friends",What If...,Light,Yes,Yes,لو هتوصف مستقبلك في 3 كلمات، هيبقوا إيه؟,,
What if we met again for the first time today — what would be different?,"First Date, Friends, Lovers",What If...,Light,No,Yes,لو اتقابلنا لأول مرة النهاردة، إيه اللي كان هيختلف؟,,
What's something you think I'm better at than I realize?,"Family, Friends, Lovers",Know me,Light,No,Yes,إيه الحاجة اللي أنا شاطر فيها وأنا مش واخد بالي؟,,
What's my biggest comfort activity?,"Family, Friends, Lovers",Know me,Light,No,Yes,إيه أكتر حاجة بعملها عشان أروق؟,,
What's one thing you think I need more of in my life?,"Family, Friends, Lovers",Know me,Medium,No,Yes,إيه اللي تفتكر حياتي محتاجاه أكتر؟,,
What kind of situation do you think stresses me out?,"Family, Friends, Lovers",Know me,Light,No,Yes,إيه المواقف اللي بتوترني؟,,
What do you think makes me feel calm?,"Family, Friends, Lovers",Know me,Light,No,Yes,تفتكر إيه اللي بيهديني؟,,
What's one thing you think motivates me?,"Family, Friends, Lovers",Know me,Light,No,Yes,إيه اللي بيحفزني ويشجعني؟,,
What do you think I value more than I admit?,"Family, Friends, Lovers",Know me,Medium,No,Yes,تفتكر إيه الحاجة اللي تهمني جداً بس مابقولش؟,,
What's something you think I've changed about over time?,"Family, Friends, Lovers",Know me,Medium,No,Yes,إيه اللي اتغير فيا مع الوقت من وجهة نظرك؟,,
What do you think I worry about the most?,"Family, Friends, Lovers",Know me,Light,No,Yes,تفتكر إيه أكتر حاجة شايل همها؟,,
What do you think I'm most confident about?,"Family, Friends, Lovers",Know me,Light,No,Yes,إيه أكتر حاجة أنا واثق في نفسي فيها؟,,
What's one hobby you've always wanted to try?,"Coworkers, First Date, First Time Meeting, Friends",What If...,Light,Yes,Yes,إيه الهواية اللي نفسك تجربها من زمان؟,,
Do you prefer planning or going with the flow?,"Coworkers, First Date, First Time Meeting, Friends",Honest,Light,Yes,Yes,بتحب تخطط ولا تسيبها بظروفها؟,,
What's something you never get tired of?,"First Date, First Time Meeting, Friends",Deep,Light,Yes,Yes,إيه الحاجة اللي عمرك ما بتزهق منها؟,,
Are you more of a morning or night person?,"Coworkers, First Date, First Time Meeting, Friends",Funny,Light,Yes,Yes,أنت كائن نهاري ولا ليلي؟,,
What's one thing people usually get wrong about you?,"First Date, First Time Meeting, Friends",Honest,Light,Yes,Yes,إيه الفكرة الغلط اللي الناس عادة بتاخدها عنك؟,,
What's something simple that makes you happy?,"First Date, First Time Meeting, Friends",Deep,Light,Yes,Yes,إيه الحاجة البسيطة اللي بتفرحك؟,,
What's a small thing that instantly improves your mood?,"First Date, First Time Meeting, Friends",Deep,Light,Yes,Yes,إيه التفصيلة الصغيرة اللي بتحسن مودك في ثانية؟,,
What's your go-to comfort food?,"First Date, First Time Meeting, Friends",Funny,Light,Yes,Yes,إيه أكلتك المفضلة اللي بتعدل مزاجك؟,,
What kind of music do you usually listen to?,"Coworkers, First Date, First Time Meeting, Friends",Honest,Light,Yes,Yes,بتسمع نوع مزيكا إيه عادةً؟,,
"Do you enjoy being around people, or do you need alone time?","First Date, First Time Meeting, Friends",Honest,Light,Yes,Yes,بتحب اللمة ولا بتفضل قعدة البيت لوحدك؟,,
What's something you're curious about right now?,"First Date, First Time Meeting, Friends",Honest,Light,Yes,Yes,إيه اللي شاغل فضولك الأيام دي؟,,
"What's your love language, even outside relationships?","First Date, Friends",Deep,Light,No,Yes,إيه لغة الحب بتاعتك (حتى مع الصحاب والأهل)؟,,
What's your idea of a perfect simple day?,"First Date, First Time Meeting, Friends",Deep,Light,Yes,Yes,إيه هو اليوم البسيط والمثالي بالنسبة لك؟,,
What's your favorite way to spend a free evening?,"First Date, First Time Meeting, Friends",Honest,Light,Yes,Yes,بتحب تقضي سهرتك الفاضية إزاي؟,,
What makes you feel comfortable with someone?,First Date,Deep,Medium,No,Yes,إيه اللي بيخليك تاخد راحتك مع حد؟,,
What's something you're excited about lately?,"First Date, First Time Meeting, Friends",Deep,Light,Yes,Yes,إيه اللي متحمسله الفترة دي؟,,
What's a green flag for you in people?,"First Date, Friends",Honest,Light,No,Yes,إيه العلامة الخضراء (Green Flag) اللي بتحب تشوفها في الناس؟,,
"If I had to live in a video game, which one would it be?","Coworkers, Family, First Date, First Time Meeting, Friends, Lovers",Funny,Light,Yes,Yes,لو هعيش جوه لعبة فيديو، هتكون إيه؟,,
What's the weirdest thing you think I secretly enjoy?,"Coworkers, Family, First Date, First Time Meeting, Friends, Lovers",Funny,Light,Yes,Yes,إيه الحاجة الغريبة اللي تفتكر إني بستمتع بيها في السر؟,,
What's the most absurd habit I have?,"Coworkers, Family, First Date, First Time Meeting, Friends, Lovers",Funny,Light,Yes,Yes,إيه أعجب عادة عندي؟,,
"If I had a pet that matched my personality, what would it be?","Coworkers, Family, First Date, First Time Meeting, Friends, Lovers",Funny,Light,Yes,Yes,لو هربي حيوان شبه شخصيتي، هيكون إيه؟,,
Which cartoon character am I secretly most like?,"Coworkers, Family, First Date, First Time Meeting, Friends, Lovers",Funny,Light,Yes,Yes,أنا شبه مين من شخصيات الكرتون؟,,
"If I could be a superhero, what ridiculous power would I have?","Coworkers, Family, First Date, First Time Meeting, Friends, Lovers",Funny,Light,Yes,Yes,لو بقيت بطل خارق، تفتكر قوتي العجيبة هتبقى إيه؟,,
What's the funniest thing you've caught me doing by accident?,"Coworkers, Family, First Date, First Time Meeting, Friends, Lovers",Funny,Light,Yes,Yes,إيه أكتر حاجة بتضحك شوفتني بعملها وأنا مش واخد بالي؟,,
What's a moment in your life that changed you the most?,"Family, First Date, Friends, Lovers",Deep,Medium,No,Yes,إيه اللحظة اللي غيرت فيك كتير في حياتك؟,,
What's one value you think defines me the most?,"Family, First Date, Friends, Lovers",Deep,Medium,No,Yes,إيه القيمة أو المبدأ اللي بيعبر عني؟,,
"If you could give me advice, what would it be?","Family, Friends, Lovers",Deep,Medium,No,Yes,لو هتنصحني نصيحة، هتقولي إيه؟,,
What do you think I'm most passionate about?,"Family, Friends, Lovers",Deep,Light,No,Yes,تفتكر إيه أكتر حاجة أنا شغوف بيها؟,,
What makes you trust someone completely?,"Family, First Date, Friends, Lovers",Deep,Medium,No,Yes,إيه اللي يخليك تثق في حد ثقة عمياء؟,,
"If you could relive one day with me, which would it be?","Family, Friends, Lovers",Deep,Medium,No,Yes,لو ينفع تعيد يوم واحد قضيناه سوا، هتختار أنهي؟,,
How do you think I cope with stress?,"Family, Friends, Lovers",Deep,Medium,No,Yes,تفتكر أنا بتعامل إزاي مع الضغط؟,,
What do you think I hide from others?,"Friends, Lovers",Honest,Bold,No,No,تفتكر أنا بخبي إيه عن الناس؟,,
What's one thing I do that really annoys you but you've never said?,"Friends, Lovers",Honest,Bold,No,No,إيه الحاجة اللي بعملها وبتستفزك بس ماقولتليش؟,,
What's something I do that makes you question me?,"Friends, Lovers",Honest,Bold,No,No,إيه التصرف اللي بيخليك تستغربني أو تشك فيا؟,,
"If I broke a promise, which one would upset you most?",Lovers,Honest,Bold,No,No,لو خلفت وعد، إيه الوعد اللي هيزعل أوي لو كسرته؟,,
What's a truth about me you've avoided saying?,"Friends, Lovers",Honest,Bold,No,No,إيه الحقيقة اللي بتتحاشى تقولها في وشي؟,,
When do you think I'm hardest to understand?,"Family, Friends, Lovers",Honest,Medium,No,No,إمتى بكون صعب الفهم بالنسبة لك؟,,
What if you had to explain me to a stranger — what would you say?,"Coworkers, Family, First Date, First Time Meeting, Friends, Lovers",What If...,Light,Yes,Yes,لو بتوصفني لحد غريب، هتقوله إيه؟,,
What if I could read your mind for one hour — what would I learn?,"Family, First Date, Friends, Lovers",What If...,Medium,No,Yes,لو قريت أفكارك ساعة واحدة، هعرف إيه؟,,
What if we had to survive on an island — who does what?,"Coworkers, Family, First Date, First Time Meeting, Friends, Lovers",What If...,Light,Yes,Yes,لو عزلونا في جزيرة مهجورة، كل واحد فينا هيعمل إيه؟,,
What if we could live in any era — which one fits us best?,"Family, First Date, Friends, Lovers",What If...,Light,No,Yes,لو ينفع نعيش في أي زمن، أنهي عصر يليق علينا؟,,
What if we could go back to any time in our lives — where would you take me?,"Family, First Date, Friends, Lovers",What If...,Medium,No,Yes,لو رجعنا بالزمن، هتاخدني معاك فين؟,,
What if we switched personalities for a day — how would it go?,"Coworkers, Family, First Date, First Time Meeting, Friends, Lovers",What If...,Light,Yes,Yes,لو بدلنا شخصياتنا يوم، الدنيا هتمشي إزاي؟,,
What's my preferred way to spend a weekend?,"Family, Friends, Lovers",Know me,Light,No,Yes,بحب أقضي الويك إند إزاي؟,,
What's my favorite spot to relax?,"Family, Friends, Lovers",Know me,Light,No,Yes,إيه مكاني المفضل للروقان؟,,
What's a habit of mine you've noticed but never told me about?,"Family, Friends, Lovers",Know me,Light,No,Yes,إيه العادة اللي لقطتها فيا وماقولتليش؟,,
What's a weird habit of mine that I don't realize?,"Family, Friends, Lovers",Know me,Light,No,Yes,إيه العادة الغريبة اللي عندي وأنا مش حاسس؟,,
What's my favorite snack when I'm stressed?,"Family, Friends, Lovers",Know me,Light,No,Yes,إيه أكتر سناك بحب آكله لما بكون مضغوط؟,,
What's a phrase I say often without noticing?,"Family, Friends, Lovers",Know me,Light,No,Yes,إيه الكلمة أو الجملة اللي بقولها كتير من غير ما أحس؟,,
What's my guilty pleasure TV show or movie?,"Family, Friends, Lovers",Know me,Light,No,Yes,إيه الفيلم أو المسلسل اللي مكسوف إني بحبه؟ (guilty pleasure),,
"When have I hurt you, even unintentionally?","Friends, Lovers",Honest,Bold,No,No,إمتى جرحتك، حتى لو من غير قصد؟,,
What's one thing you think I take for granted?,"Family, Friends, Lovers",Honest,Medium,No,No,إيه الحاجة اللي تفتكر إني مش مقدر قيمتها كفاية؟,,
What's something I avoid admitting to myself?,"Friends, Lovers",Honest,Bold,No,No,إيه الحاجة اللي بهرب من إني أعترف بيها لنفسي؟,,
What's the hardest truth I need to face?,"Friends, Lovers",Honest,Bold,No,No,إيه الحقيقة المرة اللي لازم أواجهها؟,,
What's one thing I should hear but probably won't like?,"Friends, Lovers",Honest,Bold,No,No,إيه الكلام اللي لازم أسمعه بس مش هيعجبني؟,,
When have I been unfair to you?,"Friends, Lovers",Honest,Bold,No,No,إمتى جيت عليك أو ظلمتك؟,,
Would you rather never have to pick your outfit or never have to do laundry?,"Coworkers, First Date, First Time Meeting, Friends",Funny,Light,Yes,Yes,تفضل إنك عمرك ما تحتاج تختار طقمك ولا عمرك ما تحتاج تعمل غسيل؟,,
What is the best purchase you've ever made?,"Coworkers, First Date, First Time Meeting, Friends",Honest,Light,Yes,Yes,إيه أحسن حاجة اشتريتها في حياتك؟,,
By percent are you an introvert or an extrovert?,"First Date, First Time Meeting, Friends",Honest,Light,Yes,Yes,كنسبة مئوية، أنت انطوائي ولا اجتماعي؟,,
If you could be anyone for a week who would it be?,"Coworkers, First Date, First Time Meeting, Friends",What If...,Light,Yes,Yes,لو ممكن تكون أي شخص لمدة أسبوع، هتختار مين؟,,
What would be the “perfect” day for you?,"First Date, First Time Meeting, Friends, Lovers",Deep,Medium,Yes,Yes,"إيه هو اليوم ""المثالي"" بالنسبة لك؟",,
What's the best dining experience you've ever had?,"Coworkers, First Date, First Time Meeting, Friends",Funny,Light,Yes,Yes,إيه أحلى تجربة أكل عشتها في حياتك؟,,
What tradition would you most want to pass on to your children?,"Family, Friends, Lovers",Deep,Bold,No,Yes,إيه العادة اللي نفسك تعلمها لأولادك؟,,
Which of your friends is most like you?,"Friends, Lovers",Know me,Light,No,Yes,مين من أصحابك شبهك أكتر واحد؟,,
Would you rather have an unlimited international first class ticket or never have to pay for food at restaurants?,"Coworkers, First Date, First Time Meeting, Friends",What If...,Light,Yes,Yes,تفضل يكون معاك تذكرة طيران درجة أولى دولية مدى الحياة ولا متدفعش فلوس الأكل في المطاعم أبداً؟,,
What is your secret passion or skill?,"First Date, Friends, Lovers",Deep,Medium,No,Yes,إيه موهبتك أو شغفك السري؟,,
What is the worst pain you've ever experienced?,"Friends, Lovers",Honest,Bold,No,No,إيه أسوأ وجع حسيته في حياتك؟,,
What do you miss about your last job?,"Coworkers, Friends",Honest,Light,Yes,Yes,إيه اللي بتوحشك من شغلك الأخير؟,,
Would you rather never use social media or never watch movies or TV shows?,"Coworkers, First Date, First Time Meeting, Friends",What If...,Light,Yes,Yes,تفضل عمرك ما تستخدم سوشيال ميديا ولا عمرك ما تشوف أفلام ومسلسلات؟,,
If you could do something dangerous just once with no risk what would you do?,"Coworkers, First Date, First Time Meeting, Friends",What If...,Medium,Yes,Yes,لو ممكن تعمل حاجة خطيرة مرة واحدة بس ومفيش أي خطر، هتعمل إيه؟,,
What makes the best gifts?,"First Date, First Time Meeting, Friends, Lovers",Honest,Light,Yes,Yes,إيه اللي بيخلي الهدية حلوة بجد؟,,
"If you had to spend 100,000EGP right now -  what would you buy?","Coworkers, First Date, First Time Meeting, Friends",What If...,Light,Yes,Yes,لو مضطر تصرف 100 ألف جنيه دلوقتي، هتشتري إيه؟,,
What are you really good at fixing?,"Coworkers, First Date, First Time Meeting, Friends",Honest,Light,Yes,Yes,إيه الحاجة اللي شاطر أوي في تصليحها؟,,
What is one thing that you love but don't really need?,"First Date, First Time Meeting, Friends, Lovers",Deep,Light,Yes,Yes,إيه الحاجة اللي بتحبها بس مش محتاجها بجد؟,,
What’s your favorite thing about yourself?,"First Date, Friends, Lovers",Deep,Medium,No,Yes,إيه أكتر حاجة بتحبها في نفسك؟,,
What is the best gift you've ever received?,"First Date, First Time Meeting, Friends, Lovers",Deep,Light,Yes,Yes,إيه أحسن هدية جتلكم؟,,
What does your me-time look like?,"First Date, First Time Meeting, Friends, Lovers",Honest,Light,Yes,Yes,وقتك الخاص (Me-Time) بيبقى عامل إزاي؟,,
If you could wake up tomorrow with a new quality or ability what would it be?,"Coworkers, First Date, First Time Meeting, Friends",What If...,Medium,Yes,Yes,لو صحيت بكرة بصفة أو قدرة جديدة، هتكون إيه؟,,
What’s something you’ve learned in the last week?,"Coworkers, First Date, First Time Meeting, Friends",Honest,Light,Yes,Yes,إيه الحاجة اللي اتعلمتها في الأسبوع اللي فات؟,,
What’s the most enjoyable part of your weekly routine?,"Coworkers, First Date, First Time Meeting, Friends",Deep,Light,Yes,Yes,إيه أكتر جزء ممتع في روتينك الأسبوعي؟,,
For what things do you spare no expense?,"Coworkers, First Date, Friends, Lovers",Honest,Medium,No,Yes,إيه الحاجات اللي متبخلش عليها بفلوس؟,,
Who do you love to spend time with and why?,"Family, Friends, Lovers",Deep,Medium,No,Yes,بتحب تقضي وقت مع مين وليه؟,,